model,variance_cat_idx,variance_age_cat_idx,variance_area_idx,variance_sur_idx,total_variance,percentage_variance_cat_idx,percentage_variance_age_cat_idx,percentage_variance_area_idx,percentage_variance_sur_idx
Model 1,0.006470068825242796,0.8078856265117238,,,0.8143556953369666,0.00794501574961736,0.9920549842503826,,
Model 2,0.006453370563918043,0.8290199269023648,0.09562057904298299,,0.9310938765092659,0.00693095586463544,0.8903720106187539,0.10269703351661062,
Model 3,0.006484829115424191,0.8480744516558139,0.12942958932450283,,0.9839888700957409,0.006590348033909393,0.8618740286902811,0.1315356232758095,
Model 4,0.00645137338393704,0.8548521326093269,,0.02314224316722325,0.8844457491604872,0.007294255628522903,0.9665399301435385,,0.026165814227938552
Model 5,0.006240513252096693,0.8651118698057594,0.09037032152782873,0.021784996838827862,0.9835077014245127,0.006345159517366191,0.8796188057833519,0.09188572839535099,0.02215030630393079
Model 6,0.006456065260892986,0.897208454269505,0.12038229467554198,0.021964806162535502,1.0460116203684755,0.006172077953224579,0.8577423393761611,0.11508695728746805,0.02099862538314634
Model 7,0.006013129341538183,0.8562502868415613,,0.02221371721951979,0.8844771334026194,0.006798513058676182,0.968086403260118,,0.025115083681205776
Model 8,0.0051903085921883975,0.8775004226197943,0.09040250015038227,0.021102190891330336,0.9941954222536953,0.005220612040661713,0.8826236803933672,0.09093031221714244,0.021225395348828665
Model 9,0.005813007394217975,0.8912948975829585,0.12041612393365819,0.02133065187643418,1.038854680787269,0.005595592436290261,0.8579591679824881,0.11591238520714367,0.020532854374077904
